"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"1","Chief executives","Management, Business, and Financial","Management",1024259,782400,241859,23.6,120254,126142,95921,76.0420795611295,2020-01-01
"2","General and operations managers","Management, Business, and Financial","Management",977284,681627,295657,30.3,73557,81041,60759,74.97316173295,2020-01-01
"3","Legislators","Management, Business, and Financial","Management",14815,8375,6440,43.5,67155,71530,65325,91.3253180483713,2020-01-01
"4","Advertising and promotions managers","Management, Business, and Financial","Management",43015,17775,25240,58.7,61371,75190,55860,74.2917941215587,2020-01-01
"5","Marketing and sales managers","Management, Business, and Financial","Management",754514,440078,314436,41.7,78455,91998,65040,70.6971890693276,2020-01-01
"6","Public relations and fundraising managers","Management, Business, and Financial","Management",44198,16141,28057,63.5,74114,90071,66052,73.3332593176494,2020-01-01
"7","Administrative services managers","Management, Business, and Financial","Management",109703,72873,36830,33.6,62187,66579,55079,82.7272863815918,2020-01-01
"8","Computer and information systems managers","Management, Business, and Financial","Management",489048,354369,134679,27.5,99167,101318,90940,89.7570027043566,2020-01-01
"9","Financial managers","Management, Business, and Financial","Management",990611,460842,529769,53.5,70456,90278,57406,63.5880280910078,2020-01-01
"10","Compensation and benefits managers","Management, Business, and Financial","Management",14656,3387,11269,76.9,71927,97552,68207,NA,2020-01-01
"11","Human resources managers","Management, Business, and Financial","Management",307004,125240,181764,59.2,67669,75328,64662,85.8405904842821,2020-01-01
"12","Training and development managers","Management, Business, and Financial","Management",41185,20111,21074,51.2,74735,80754,71091,88.0340292740917,2020-01-01
"13","Industrial production managers","Management, Business, and Financial","Management",218198,177200,40998,18.8,72414,74623,65033,87.148734304437,2020-01-01
"14","Purchasing managers","Management, Business, and Financial","Management",175540,96499,79041,45,71237,81528,62785,77.0103522716122,2020-01-01
"15","Transportation, storage, and distribution managers","Management, Business, and Financial","Management",185512,151841,33671,18.2,52058,52017,52259,100.465232520138,2020-01-01
"16","Farmers, ranchers, and other agricultural managers","Management, Business, and Financial","Management",499775,446121,53654,10.7,40638,41691,25310,60.7085462090139,2020-01-01
"17","Construction managers","Management, Business, and Financial","Management",469706,434849,34857,7.4,68101,69556,62198,89.4214733452182,2020-01-01
"18","Education administrators","Management, Business, and Financial","Management",708239,272330,435909,61.5,66889,78115,60580,77.5523266978173,2020-01-01
"19","Architectural and engineering managers","Management, Business, and Financial","Management",132575,120777,11798,8.9,121336,121690,113507,93.2755361985373,2020-01-01
"20","Food service managers","Management, Business, and Financial","Management",740359,407357,333002,45,36586,41164,31578,76.7126615489262,2020-01-01
"21","Funeral service managers","Management, Business, and Financial","Management",5439,4421,1018,18.7,70805,71617,52125,NA,2020-01-01
"22","Gaming managers","Management, Business, and Financial","Management",17294,10632,6662,38.5,51221,52127,47845,91.7854470811672,2020-01-01
"23","Lodging managers","Management, Business, and Financial","Management",96419,47382,49037,50.9,41824,50610,36533,72.1853388658368,2020-01-01
"24","Medical and health services managers","Management, Business, and Financial","Management",546042,171661,374381,68.6,69563,84450,64765,76.6903493191237,2020-01-01
"25","Natural sciences managers","Management, Business, and Financial","Management",16766,8633,8133,48.5,94448,121164,85416,70.4961869862336,2020-01-01
"26","Postmasters and mail superintendents","Management, Business, and Financial","Management",28282,12394,15888,56.2,65191,77465,56317,72.6999290001936,2020-01-01
"27","Property, real estate, and community association managers","Management, Business, and Financial","Management",414232,203818,210414,50.8,47936,57059,41743,73.1576087909006,2020-01-01
"28","Social and community service managers","Management, Business, and Financial","Management",279952,96503,183449,65.5,55473,62367,51933,83.2699985569292,2020-01-01
"29","Emergency management directors","Management, Business, and Financial","Management",6422,4662,1760,27.4,73381,73478,73102,NA,2020-01-01
"30","Managers, all other","Management, Business, and Financial","Management",3034121,2056582,977539,32.2,75912,81462,63917,78.4623505438119,2020-01-01
"31","Agents and business managers of artists, performers, and athletes","Management, Business, and Financial","Business and Financial Operations",28413,17494,10919,38.4,51244,51910,47043,90.6241571951454,2020-01-01
"32","Buyers and purchasing agents, farm products","Management, Business, and Financial","Business and Financial Operations",7184,5882,1302,18.1,51036,51063,50742,NA,2020-01-01
"33","Wholesale and retail buyers, except farm products","Management, Business, and Financial","Business and Financial Operations",170412,86522,83890,49.2,42170,41619,42990,103.294168528797,2020-01-01
"34","Purchasing agents, except wholesale, retail, and farm products","Management, Business, and Financial","Business and Financial Operations",220927,107988,112939,51.1,54632,60957,50058,82.120183079876,2020-01-01
"35","Claims adjusters, appraisers, examiners, and investigators","Management, Business, and Financial","Business and Financial Operations",257730,98587,159143,61.7,51134,60097,46520,77.4081900926835,2020-01-01
"36","Compliance officers","Management, Business, and Financial","Business and Financial Operations",193020,95524,97496,50.5,62311,66724,60054,90.0035969066603,2020-01-01
"37","Cost estimators","Management, Business, and Financial","Business and Financial Operations",105744,91484,14260,13.5,57333,60249,49443,82.0644326046905,2020-01-01
"38","Human resources workers","Management, Business, and Financial","Business and Financial Operations",571108,158154,412954,72.3,54989,63034,51765,82.1223466700511,2020-01-01
"39","Compensation, benefits, and job analysis specialists","Management, Business, and Financial","Business and Financial Operations",53127,13895,39232,73.8,50968,61089,47927,78.454386223379,2020-01-01
"40","Training and development specialists","Management, Business, and Financial","Business and Financial Operations",105954,50856,55098,52,52417,59310,50024,84.3432810655876,2020-01-01
"41","Logisticians","Management, Business, and Financial","Business and Financial Operations",97563,63756,33807,34.7,52109,54698,50410,92.1605908808366,2020-01-01
"42","Management analysts","Management, Business, and Financial","Business and Financial Operations",589692,346499,243193,41.2,80220,89151,72006,80.7685836389945,2020-01-01
"43","Meeting, convention, and event planners","Management, Business, and Financial","Business and Financial Operations",78856,15208,63648,80.7,47088,47876,46973,98.1138775169187,2020-01-01
"44","Fundraisers","Management, Business, and Financial","Business and Financial Operations",63985,18678,45307,70.8,60802,69292,57730,83.3140910927668,2020-01-01
"45","Market research analysts and marketing specialists","Management, Business, and Financial","Business and Financial Operations",230432,102417,128015,55.6,67154,80508,60673,75.3626968748447,2020-01-01
"46","Business operations specialists, all other","Management, Business, and Financial","Business and Financial Operations",211970,98399,113571,53.6,56945,67442,51378,76.1810147979004,2020-01-01
"47","Accountants and auditors","Management, Business, and Financial","Business and Financial Operations",1651199,683411,967788,58.6,61270,72805,54720,75.159673099375,2020-01-01
"48","Appraisers and assessors of real estate","Management, Business, and Financial","Business and Financial Operations",75414,49592,25822,34.2,55227,61056,45643,74.7559617400419,2020-01-01
"49","Budget analysts","Management, Business, and Financial","Business and Financial Operations",41799,14880,26919,64.4,70429,78667,65830,83.6818488057254,2020-01-01
"50","Credit analysts","Management, Business, and Financial","Business and Financial Operations",23011,9607,13404,58.3,53869,56903,51602,90.6841467057976,2020-01-01
"51","Financial analysts","Management, Business, and Financial","Business and Financial Operations",65367,44484,20883,31.9,84140,100081,63424,63.3726681388076,2020-01-01
"52","Personal financial advisors","Management, Business, and Financial","Business and Financial Operations",283136,196273,86863,30.7,82142,98126,60359,61.5117298167662,2020-01-01
"53","Insurance underwriters","Management, Business, and Financial","Business and Financial Operations",94336,33432,60904,64.6,58402,75372,52283,69.3666082895505,2020-01-01
"54","Financial examiners","Management, Business, and Financial","Business and Financial Operations",10413,5134,5279,50.7,71779,77263,60411,NA,2020-01-01
"55","Credit counselors and loan officers","Management, Business, and Financial","Business and Financial Operations",285649,130778,154871,54.2,54535,69726,46394,66.5375899951238,2020-01-01
"56","Tax examiners and collectors, and revenue agents","Management, Business, and Financial","Business and Financial Operations",50960,17617,33343,65.4,49380,66754,45704,68.4663091350331,2020-01-01
"57","Tax preparers","Management, Business, and Financial","Business and Financial Operations",51485,24538,26947,52.3,56047,70641,47997,67.9449611415467,2020-01-01
"58","Financial specialists, all other","Management, Business, and Financial","Business and Financial Operations",58785,26520,32265,54.9,61323,81859,48869,59.6989946126877,2020-01-01
"59","Computer and information research scientists","Computer, Engineering, and Science","Computer and mathematical",12993,9222,3771,29,95918,100222,88006,NA,2020-01-01
"60","Computer systems analysts","Computer, Engineering, and Science","Computer and mathematical",441538,280626,160912,36.4,75886,81174,69346,85.4288318919851,2020-01-01
"61","Information security analysts","Computer, Engineering, and Science","Computer and mathematical",50853,40681,10172,20,84140,86349,80245,92.9310125189637,2020-01-01
"62","Computer programmers","Computer, Engineering, and Science","Computer and mathematical",374314,298175,76139,20.3,80512,81508,75088,92.1234725425725,2020-01-01
"63","Software developers, applications and systems software","Computer, Engineering, and Science","Computer and mathematical",924888,741308,183580,19.8,94025,96868,83808,86.5177354750795,2020-01-01
"64","Web developers","Computer, Engineering, and Science","Computer and mathematical",136446,95672,40774,29.9,60056,61566,53995,87.7026280739369,2020-01-01
"65","Computer support specialists","Computer, Engineering, and Science","Computer and mathematical",458736,339470,119266,26,52063,53960,49001,90.8098591549296,2020-01-01
"66","Database administrators","Computer, Engineering, and Science","Computer and mathematical",101323,61969,39354,38.8,75824,84609,61378,72.5431100710326,2020-01-01
"67","Network and computer systems administrators","Computer, Engineering, and Science","Computer and mathematical",195372,160376,34996,17.9,67246,68363,61699,90.2520369205564,2020-01-01
"68","Computer network architects","Computer, Engineering, and Science","Computer and mathematical",91709,84233,7476,8.2,96372,96549,94445,97.8207956581632,2020-01-01
"69","Computer , all other","Computer, Engineering, and Science","Computer and mathematical",354952,277889,77063,21.7,66550,66971,65329,97.5481925012319,2020-01-01
"70","Actuaries","Computer, Engineering, and Science","Computer and mathematical",23200,16642,6558,28.3,112191,116019,106759,92.0185486859911,2020-01-01
"71","Mathematicians","Computer, Engineering, and Science","Computer and mathematical",1933,1603,330,17.1,79256,73799,99362,NA,2020-01-01
"72","Operations research analysts","Computer, Engineering, and Science","Computer and mathematical",123636,65206,58430,47.3,77172,86748,68925,79.4542813667174,2020-01-01
"73","Statisticians","Computer, Engineering, and Science","Computer and mathematical",31319,16117,15202,48.5,81209,87488,74291,84.9156455742502,2020-01-01
"74","Miscellaneous mathematical science","Computer, Engineering, and Science","Computer and mathematical",3686,1974,1712,46.4,70370,75221,56018,NA,2020-01-01
"75","Architects, except naval","Computer, Engineering, and Science","Architecture and Engineering",145439,114341,31098,21.4,71305,75395,60518,80.267922276013,2020-01-01
"76","Surveyors, cartographers, and photogrammetrists","Computer, Engineering, and Science","Architecture and Engineering",31315,24924,6391,20.4,59354,61190,50876,83.1443046249387,2020-01-01
"77","Aerospace engineers","Computer, Engineering, and Science","Architecture and Engineering",117942,105914,12028,10.2,100701,101260,90023,88.9028244124037,2020-01-01
"78","Agricultural engineers","Computer, Engineering, and Science","Architecture and Engineering",2952,2425,527,17.9,70585,73207,39356,NA,2020-01-01
"79","Biomedical engineers","Computer, Engineering, and Science","Architecture and Engineering",12371,10765,1606,13,78629,77459,85248,NA,2020-01-01
"80","Chemical engineers","Computer, Engineering, and Science","Architecture and Engineering",53119,45725,7394,13.9,100231,100632,95507,94.9071865808093,2020-01-01
"81","Civil engineers","Computer, Engineering, and Science","Architecture and Engineering",257802,228722,29080,11.3,81233,81911,71854,87.7220397748776,2020-01-01
"82","Computer hardware engineers","Computer, Engineering, and Science","Architecture and Engineering",51453,44773,6680,13,91967,95258,76236,NA,2020-01-01
"83","Electrical and electronics engineers","Computer, Engineering, and Science","Architecture and Engineering",180122,163656,16466,9.1,91895,93351,81167,86.9481848078756,2020-01-01
"84","Environmental engineers","Computer, Engineering, and Science","Architecture and Engineering",25988,19105,6883,26.5,77406,80413,72478,90.13219255593,2020-01-01
"85","Industrial engineers, including health and safety","Computer, Engineering, and Science","Architecture and Engineering",172367,136669,35698,20.7,75131,76487,66498,86.9402643586492,2020-01-01
"86","Marine engineers and naval architects","Computer, Engineering, and Science","Architecture and Engineering",11147,10288,859,7.7,81250,85451,70430,NA,2020-01-01
"87","Materials engineers","Computer, Engineering, and Science","Architecture and Engineering",27975,23360,4615,16.5,80011,80877,73038,NA,2020-01-01
"88","Mechanical engineers","Computer, Engineering, and Science","Architecture and Engineering",206515,191858,14657,7.1,79565,80193,72416,90.3021460725999,2020-01-01
